PRODUCT_DESCRIPTION,ORDER_CITY,ORDER_DATE,ORDERID,QUANTITY
STRIPED KNIT SWEATER,NEWCASTLE,2023-01-12,Trans-5100,3
JOGGER WAIST TROUSER,LIVERPOOL,2023-01-25,Trans-5101,3
HIGH-WAIST TROUSER,NEWCASTLE,2023-01-20,Trans-5102,3
CROPPED HOODIE,BIRMINGHAM,2023-01-21,Trans-5103,4
COLOUR BLOCK LEATHER JACKET,MANCHESTER,2023-01-11,Trans-5104,2
SHIRT WITH CONTRAST COLLAR,LONDON,2023-01-16,Trans-5105,2
SLIM-FIT SUIT BLAZER,MANCHESTER,2023-01-08,Trans-5106,2
SOFT BOWLING BAG,LONDON,2023-01-05,Trans-5107,4
STUDDED DENIM SKIRT,LONDON,2023-01-19,Trans-5108,1
STUDDED DENIM SKIRT,LONDON,2023-01-13,Trans-5109,4
OVERSIZED HOODIE,SOUTHAMPTON,2023-01-27,Trans-5110,5
CROPPED HOODIE,BIRMINGHAM,2023-01-21,Trans-5111,2
CROPPED HOODIE,BIRMINGHAM,2023-01-27,Trans-5112,3
FAUX SUEDE BOMBER JACKET,LONDON,2023-01-24,Trans-5113,2
KNIT POLO SHIRT,LIVERPOOL,2023-01-24,Trans-5114,4
STRIPED KNIT SWEATER,MANCHESTER,2023-01-19,Trans-5115,4
JOGGER WAIST TROUSER,LIVERPOOL,2023-01-24,Trans-5116,4
HIGH-WAIST TROUSER,LONDON,2023-01-18,Trans-5117,2
FAUX SUEDE BOMBER JACKET,LIVERPOOL,2023-01-20,Trans-5118,2
COLOUR BLOCK LEATHER JACKET,LONDON,2023-01-20,Trans-5119,2
SHIRT WITH CONTRAST COLLAR,BIRMINGHAM,2023-01-22,Trans-5120,1
SLIM-FIT SUIT BLAZER,BIRMINGHAM,2022-12-31,Trans-5121,2
SOFT BOWLING BAG,LONDON,2023-01-17,Trans-5122,4
LONG DENIM BERMUDA SHORT,LONDON,2023-01-09,Trans-5123,3
STUDDED DENIM SKIRT,LONDON,2023-01-19,Trans-5124,3
FAUX SUEDE BOMBER JACKET,LONDON,2023-01-23,Trans-5125,1
CROPPED HOODIE,BIRMINGHAM,2023-01-15,Trans-5126,5
RIPPED JEANS,LONDON,2023-01-17,Trans-5127,4
SLIM FIT JEANS,LONDON,2023-01-09,Trans-5128,3
KNIT POLO SHIRT,LONDON,2023-01-11,Trans-5129,2
STRIPED KNIT SWEATER,MANCHESTER,2023-01-14,Trans-5130,2
JOGGER WAIST TROUSER,NEWCASTLE,2023-01-12,Trans-5131,3
HIGH-WAIST TROUSER,BIRMINGHAM,2023-01-11,Trans-5132,2
JOGGER WAIST TROUSER,LIVERPOOL,2023-01-17,Trans-5133,2
COLOUR BLOCK LEATHER JACKET,NEWCASTLE,2023-01-28,Trans-5134,3
SHIRT WITH CONTRAST COLLAR,SOUTHAMPTON,2023-01-08,Trans-5135,4
